Position x:  Position y:  Angle:  Rotation angle:
   1300          600        180          180
   2700          600        180          180
   3500          600        180          180
   5300          600        180          180
   6100          600        180          180
   7900          600        180          180
   1300          1099        180          0
   1300          1200        180          180
   2700          1099        180          0
   2700          1200        180          180
   3500          1099        180          0
   3500          1200        180          180
   5300          1099        180          0
   5300          1200        180          180
   6100          1099        180          0
   6100          1200        180          180
   7900          1099        180          0
   7900          1200        180          180
   1300          1799        180          0
   1300          1900        180          180
   2700          1799        180          0
   2700          1900        180          180
   3500          1799        180          0
   3500          1900        180          180
   4300          1900        180          180
   5100          1900        180          180
   5300          1799        180          0
   5900          1900        180          180
   6100          1799        180          0
   6700          1900        180          180
   7900          1799        180          0
   7900          1900        180          180
   1300          2699        180          0
   1300          2800        180          180
   2700          2699        180          0
   2700          2800        180          180
   3500          2699        180          0
   3500          2800        180          180
   4300          2699        180          0
   5100          2699        180          0
   5300          2800        180          180
   5900          2699        180          0
   6100          2800        180          180
   6700          2699        180          0
   7900          2699        180          0
   7900          2800        180          180
   1300          3499        180          0
   1300          3600        180          180
   2700          3499        180          0
   2700          3600        180          180
   3500          3499        180          0
   3500          3600        180          180
   5300          3499        180          0
   5300          3600        180          180
   6100          3499        180          0
   6100          3600        180          180
   7900          3499        180          0
   7900          3600        180          180
   1300          4399        180          0
   2700          4399        180          0
   3500          4399        180          0
   5300          4399        180          0
   6100          4399        180          0
   7900          4399        180          0
   600          4000        180          270
   1899          4000        180          90
   2000          4000        180          270
   4499          4000        180          90
   4600          4000        180          270
   7099          4000        180          90
   7200          4000        180          270
   8399          4000        180          90
   601          601        90          270
   1899          601        90          180
   2001          601        90          270
   4499          601        90          180
   4601          601        90          270
   7099          601        90          180
   7201          601        90          270
   8399          601        90          180
   601          1201        90          270
   1899          1201        90          180
   2001          1201        90          270
   4499          1201        90          180
   4601          1201        90          270
   7099          1201        90          180
   7201          1201        90          270
   8399          1201        90          180
   601          1901        90          270
   1899          1901        90          180
   2001          1901        90          270
   7099          1901        90          180
   7201          1901        90          270
   8399          1901        90          180
   601          2801        90          270
   1899          2801        90          180
   2001          2801        90          270
   4499          2801        90          180
   4601          2801        90          270
   7099          2801        90          180
   7201          2801        90          270
   8399          2801        90          180
   601          3601        90          270
   1899          3601        90          180
   2001          3601        90          270
   4499          3601        90          180
   4601          3601        90          270
   7099          3601        90          180
   7201          3601        90          270
   8399          3601        90          180
   500          500        360          0
   500          550        360          0
   500          600        360          0
   500          650        360          0
   500          700        360          0
   500          750        360          0
   500          800        360          0
   500          850        360          0
   500          900        360          0
   500          950        360          0
   500          1000        360          0
   500          1050        360          0
   500          1100        360          0
   500          1150        360          0
   500          1200        360          0
   500          1250        360          0
   500          1300        360          0
   500          1350        360          0
   500          1400        360          0
   500          1450        360          0
   500          1500        360          0
   500          1550        360          0
   500          1600        360          0
   500          1650        360          0
   500          1700        360          0
   500          1750        360          0
   500          1800        360          0
   500          1850        360          0
   500          1900        360          0
   500          1950        360          0
   500          2000        360          0
   500          2050        360          0
   500          2100        360          0
   500          2150        360          0
   500          2200        360          0
   500          2250        360          0
   500          2300        360          0
   500          2350        360          0
   500          2400        360          0
   500          2450        360          0
   500          2500        360          0
   500          2550        360          0
   500          2600        360          0
   500          2650        360          0
   500          2700        360          0
   500          2750        360          0
   500          2800        360          0
   500          2850        360          0
   500          2900        360          0
   500          2950        360          0
   500          3000        360          0
   500          3050        360          0
   500          3100        360          0
   500          3150        360          0
   500          3200        360          0
   500          3250        360          0
   500          3300        360          0
   500          3350        360          0
   500          3400        360          0
   500          3450        360          0
   500          3500        360          0
   500          3550        360          0
   500          3600        360          0
   500          3650        360          0
   500          3700        360          0
   500          3750        360          0
   500          3800        360          0
   500          3850        360          0
   500          3900        360          0
   500          3950        360          0
   500          4000        360          0
   500          4050        360          0
   500          4100        360          0
   500          4150        360          0
   500          4200        360          0
   500          4250        360          0
   500          4300        360          0
   500          4350        360          0
   500          4400        360          0
   500          4450        360          0
   600          500        360          0
   600          550        360          0
   600          600        360          0
   600          1650        360          0
   600          2350        360          0
   600          2450        360          0
   600          3250        360          0
   600          4400        360          0
   600          4450        360          0
   700          500        360          0
   700          550        360          0
   700          2550        360          0
   700          4450        360          0
   800          500        360          0
   800          550        360          0
   800          3300        360          0
   800          4450        360          0
   900          500        360          0
   900          550        360          0
   900          2250        360          0
   900          4450        360          0
   1000          500        360          0
   1000          550        360          0
   1000          4450        360          0
   1100          500        360          0
   1100          550        360          0
   1100          4450        360          0
   1200          500        360          0
   1200          550        360          0
   1200          4450        360          0
   1300          500        360          0
   1300          550        360          0
   1300          4450        360          0
   1400          500        360          0
   1400          550        360          0
   1400          4450        360          0
   1500          500        360          0
   1500          550        360          0
   1500          4450        360          0
   1600          500        360          0
   1600          550        360          0
   1600          2350        360          0
   1600          4450        360          0
   1700          500        360          0
   1700          550        360          0
   1700          2500        360          0
   1700          3300        360          0
   1700          4450        360          0
